realtime_start,realtime_end,date,value
2025-02-06,2025-02-06,1973-10-01,106.253
2025-02-06,2025-02-06,1974-01-01,112.656
2025-02-06,2025-02-06,1974-04-01,115.543
2025-02-06,2025-02-06,1974-07-01,121.06
2025-02-06,2025-02-06,1974-10-01,107.908
2025-02-06,2025-02-06,1975-01-01,94.707
2025-02-06,2025-02-06,1975-04-01,99.406
2025-02-06,2025-02-06,1975-07-01,115.831
2025-02-06,2025-02-06,1975-10-01,124.091
2025-02-06,2025-02-06,1976-01-01,132.702
2025-02-06,2025-02-06,1976-04-01,136.551
2025-02-06,2025-02-06,1976-07-01,138.84
2025-02-06,2025-02-06,1976-10-01,139.091
2025-02-06,2025-02-06,1977-01-01,149.831
2025-02-06,2025-02-06,1977-04-01,158.751
2025-02-06,2025-02-06,1977-07-01,165.143
2025-02-06,2025-02-06,1977-10-01,166.231
2025-02-06,2025-02-06,1978-01-01,171.939
2025-02-06,2025-02-06,1978-04-01,190.742
2025-02-06,2025-02-06,1978-07-01,197.659
2025-02-06,2025-02-06,1978-10-01,209.891
2025-02-06,2025-02-06,1979-01-01,212.834
2025-02-06,2025-02-06,1979-04-01,221.197
2025-02-06,2025-02-06,1979-07-01,226.008
2025-02-06,2025-02-06,1979-10-01,222.524
2025-02-06,2025-02-06,1980-01-01,223.179
2025-02-06,2025-02-06,1980-04-01,194.437
2025-02-06,2025-02-06,1980-07-01,201.722
2025-02-06,2025-02-06,1980-10-01,208.021
2025-02-06,2025-02-06,1981-01-01,211.951
2025-02-06,2025-02-06,1981-04-01,200.097
2025-02-06,2025-02-06,1981-07-01,205.12
2025-02-06,2025-02-06,1981-10-01,201.675
2025-02-06,2025-02-06,1982-01-01,181.46
2025-02-06,2025-02-06,1982-04-01,183.28
2025-02-06,2025-02-06,1982-07-01,178.589
2025-02-06,2025-02-06,1982-10-01,172.4
2025-02-06,2025-02-06,1983-01-01,173.982
2025-02-06,2025-02-06,1983-04-01,193.299
2025-02-06,2025-02-06,1983-07-01,204.717
2025-02-06,2025-02-06,1983-10-01,210.419
2025-02-06,2025-02-06,1984-01-01,219.241
2025-02-06,2025-02-06,1984-04-01,220.406
2025-02-06,2025-02-06,1984-07-01,211.838
2025-02-06,2025-02-06,1984-10-01,213.115
2025-02-06,2025-02-06,1985-01-01,203.842
2025-02-06,2025-02-06,1985-04-01,204.591
2025-02-06,2025-02-06,1985-07-01,208.314
2025-02-06,2025-02-06,1985-10-01,209.769
2025-02-06,2025-02-06,1986-01-01,174.669
2025-02-06,2025-02-06,1986-04-01,171.227
2025-02-06,2025-02-06,1986-07-01,170.904
2025-02-06,2025-02-06,1986-10-01,177.255
2025-02-06,2025-02-06,1987-01-01,191.686
2025-02-06,2025-02-06,1987-04-01,220.614
2025-02-06,2025-02-06,1987-07-01,235.711
2025-02-06,2025-02-06,1987-10-01,243.661
2025-02-06,2025-02-06,1988-01-01,252.224
2025-02-06,2025-02-06,1988-04-01,266.622
2025-02-06,2025-02-06,1988-07-01,265.879
2025-02-06,2025-02-06,1988-10-01,278.787
2025-02-06,2025-02-06,1989-01-01,278.613
2025-02-06,2025-02-06,1989-04-01,273.165
2025-02-06,2025-02-06,1989-07-01,262.833
2025-02-06,2025-02-06,1989-10-01,263.0
2025-02-06,2025-02-06,1990-01-01,272.8
2025-02-06,2025-02-06,1990-04-01,285.023
2025-02-06,2025-02-06,1990-07-01,289.176
2025-02-06,2025-02-06,1990-10-01,288.348
2025-02-06,2025-02-06,1991-01-01,299.498
2025-02-06,2025-02-06,1991-04-01,304.593
2025-02-06,2025-02-06,1991-07-01,310.435
2025-02-06,2025-02-06,1991-10-01,316.101
2025-02-06,2025-02-06,1992-01-01,329.803
2025-02-06,2025-02-06,1992-04-01,344.556
2025-02-06,2025-02-06,1992-07-01,328.651
2025-02-06,2025-02-06,1992-10-01,336.054
2025-02-06,2025-02-06,1993-01-01,334.638
2025-02-06,2025-02-06,1993-04-01,349.005
2025-02-06,2025-02-06,1993-07-01,362.106
2025-02-06,2025-02-06,1993-10-01,382.444
2025-02-06,2025-02-06,1994-01-01,413.269
2025-02-06,2025-02-06,1994-04-01,427.525
2025-02-06,2025-02-06,1994-07-01,449.48
2025-02-06,2025-02-06,1994-10-01,463.129
2025-02-06,2025-02-06,1995-01-01,477.546
2025-02-06,2025-02-06,1995-04-01,501.314
2025-02-06,2025-02-06,1995-07-01,509.306
2025-02-06,2025-02-06,1995-10-01,516.952
2025-02-06,2025-02-06,1996-01-01,537.204
2025-02-06,2025-02-06,1996-04-01,540.29
2025-02-06,2025-02-06,1996-07-01,537.278
2025-02-06,2025-02-06,1996-10-01,550.942
2025-02-06,2025-02-06,1997-01-01,564.382
2025-02-06,2025-02-06,1997-04-01,584.518
2025-02-06,2025-02-06,1997-07-01,608.221
2025-02-06,2025-02-06,1997-10-01,611.944
2025-02-06,2025-02-06,1998-01-01,539.192
2025-02-06,2025-02-06,1998-04-01,538.408
2025-02-06,2025-02-06,1998-07-01,535.273
2025-02-06,2025-02-06,1998-10-01,519.082
2025-02-06,2025-02-06,1999-01-01,552.462
2025-02-06,2025-02-06,1999-04-01,568.577
2025-02-06,2025-02-06,1999-07-01,569.275
2025-02-06,2025-02-06,1999-10-01,590.992
2025-02-06,2025-02-06,2000-01-01,565.043
2025-02-06,2025-02-06,2000-04-01,559.322
2025-02-06,2025-02-06,2000-07-01,554.17
2025-02-06,2025-02-06,2000-10-01,533.362
2025-02-06,2025-02-06,2001-01-01,562.885
2025-02-06,2025-02-06,2001-04-01,581.778
2025-02-06,2025-02-06,2001-07-01,532.108
2025-02-06,2025-02-06,2001-10-01,512.713
2025-02-06,2025-02-06,2002-01-01,558.468
2025-02-06,2025-02-06,2002-04-01,614.559
2025-02-06,2025-02-06,2002-07-01,669.481
2025-02-06,2025-02-06,2002-10-01,742.298
2025-02-06,2025-02-06,2003-01-01,739.46
2025-02-06,2025-02-06,2003-04-01,742.624
2025-02-06,2025-02-06,2003-07-01,785.034
2025-02-06,2025-02-06,2003-10-01,840.165
2025-02-06,2025-02-06,2004-01-01,954.777
2025-02-06,2025-02-06,2004-04-01,997.169
